Scraped At,Section,Subcategory,Product Name,Price,Rating,Image URL,Product URL,Page
2026-02-11 10:36:21,Accessories,Kitchenware,HURPRISE.COM White Stainless Steel Storage Racks ( Pack of 1 ),Rs. 275,4.0,https://g.sdlcdn.com/imgs/l/e/k/HURPRISE-COM-White-Stainless-Steel-SDL052333633-1-8fc23.png?w=220&h=258&sharp=7,https://www.snapdeal.com/product/hurprisecom-white-stainless-steel-storage/664564060148#bcrumbSearch:accessories|bcrumbLabelId:5,1
2026-02-11 10:36:21,Accessories,Kitchenware,Kitchen Shelf Storage Rack Self Adhesive Traceless Rectangular Box Organizer Plastic Hanging Toilet Bathroom Desktop Wall Mount No Driling Required (Multicolor),Rs. 131,4.0,https://g.sdlcdn.com/imgs/j/m/u/Kitchen-Shelf-Storage-Rack-Self-SDL772480286-1-ac133.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/kitchen-shelf-storage-rack-self/651274312796#bcrumbSearch:accessories|bcrumbLabelId:5,1
2026-02-11 10:36:21,Accessories,Kitchenware,OC9 Silver Stainless Steel Storage Racks ( Pack of 1 ),Rs. 143,4.2,https://g.sdlcdn.com/imgs/k/w/7/OC9-Silver-Stainless-Steel-Storage-SDL619668746-2-d2057.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/oc9-silver-stainless-steel-storage/619557336251#bcrumbSearch:accessories|bcrumbLabelId:5,1
2026-02-11 10:36:21,Accessories,Kitchenware,KITSMART Black Steel Storage Racks ( Pack of 1 ),Rs. 423,3.7,https://g.sdlcdn.com/imgs/k/8/p/KITSMART-Black-Steel-Storage-Racks-SDL596142542-1-99373.png?w=220&h=258&sharp=7,https://www.snapdeal.com/product/kitsmart-black-steel-storage-racks/642817018755#bcrumbSearch:accessories|bcrumbLabelId:5,1
2026-02-11 10:36:21,Accessories,Kitchenware,Anshri White Plastic Kitchen Dispenser ( Pack of 2 ),Rs. 167,4.4,https://g.sdlcdn.com/imgs/k/2/7/Anshri-White-Plastic-Kitchen-Dispenser-SDL199517793-1-9251b.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/anshri-white-plastic-kitchen-dispenser/654906296466#bcrumbSearch:accessories|bcrumbLabelId:5,1
2026-02-11 10:36:21,Accessories,Kitchenware,Sonal Brown Plastic Storage Racks ( Pack of 1 ),Rs. 500,3.9,https://g.sdlcdn.com/imgs/k/6/i/Sonal-Brown-Plastic-Storage-Racks-SDL681384776-1-20e82.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/sonal-brown-plastic-storage-racks/627191043139#bcrumbSearch:accessories|bcrumbLabelId:5,1
2026-02-11 10:36:21,Accessories,Kitchenware,SPIX Black Stainless Steel Storage Racks ( Pack of 1 ),Rs. 299,3.6,https://g.sdlcdn.com/imgs/l/b/h/SPIX-Black-Stainless-Steel-Storage-SDL364462288-1-c9872.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/spix-black-stainless-steel-storage/620243521414#bcrumbSearch:accessories|bcrumbLabelId:5,1
2026-02-11 10:36:21,Accessories,Kitchenware,Anshri White Plastic Storage Racks ( Pack of 4 ),Rs. 250,4.1,https://g.sdlcdn.com/imgs/k/4/z/Anshri-White-Plastic-Storage-Racks-SDL158288851-1-82b79.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/anshri-white-plastic-storage-racks/636623008371#bcrumbSearch:accessories|bcrumbLabelId:5,1
2026-02-11 10:36:21,Accessories,Kitchenware,Winstar - Silver Stainless Steel Wall mount Stand ( Pack of 1 ),Rs. 790,4.3,,https://www.snapdeal.com/product/winstar-silver-stainless-steel-wall/647630699021#bcrumbSearch:accessories|bcrumbLabelId:5,1
2026-02-11 10:36:21,Accessories,Kitchenware,Anshri Silver Steel Kitchen Cloth Hook ( Pack of 2 ),Rs. 178,4.1,,https://www.snapdeal.com/product/anshri-silver-steel-kitchen-cloth/656270323846#bcrumbSearch:accessories|bcrumbLabelId:5,1
